lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,16777216,g,1,1,in,single,clFFT1D_2.6,76.9949
4,1,1,8388608,g,1,1,in,single,clFFT1D_2.6,152.554
8,1,1,4194304,g,1,1,in,single,clFFT1D_2.6,200.656
16,1,1,2097152,g,1,1,in,single,clFFT1D_2.6,270.405
32,1,1,1048576,g,1,1,in,single,clFFT1D_2.6,314.084
64,1,1,524288,g,1,1,in,single,clFFT1D_2.6,490.901
128,1,1,262144,g,1,1,in,single,clFFT1D_2.6,599.706
256,1,1,131072,g,1,1,in,single,clFFT1D_2.6,671.885
512,1,1,65536,g,1,1,in,single,clFFT1D_2.6,787.181
1024,1,1,32768,g,1,1,in,single,clFFT1D_2.6,840.822
2048,1,1,16384,g,1,1,in,single,clFFT1D_2.6,869.563
4096,1,1,8192,g,1,1,in,single,clFFT1D_2.6,580.775
8192,1,1,4096,g,1,1,in,single,clFFT1D_2.6,398.025
16384,1,1,2048,g,1,1,in,single,clFFT1D_2.6,451.457
32768,1,1,1024,g,1,1,in,single,clFFT1D_2.6,459.492
65536,1,1,512,g,1,1,in,single,clFFT1D_2.6,417.588
131072,1,1,256,g,1,1,in,single,clFFT1D_2.6,401.075
262144,1,1,128,g,1,1,in,single,clFFT1D_2.6,345.829
524288,1,1,64,g,1,1,in,single,clFFT1D_2.6,372.671
1048576,1,1,32,g,1,1,in,single,clFFT1D_2.6,361.599
2097152,1,1,16,g,1,1,in,single,clFFT1D_2.6,335.494
4194304,1,1,8,g,1,1,in,single,clFFT1D_2.6,347.831
8388608,1,1,4,g,1,1,in,single,clFFT1D_2.6,324.39
16777216,1,1,2,g,1,1,in,single,clFFT1D_2.6,310.083
