lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,2,1,4194304,g,5,3,in,double,clFFT2D_2.6,0.0441201
4,4,1,1048576,g,5,3,in,double,clFFT2D_2.6,0.33538
8,8,1,262144,g,5,3,in,double,clFFT2D_2.6,2.028745
16,16,1,65536,g,5,3,in,double,clFFT2D_2.6,10.6405
32,32,1,16384,g,5,3,in,double,clFFT2D_2.6,40.02365
64,64,1,4096,g,5,3,in,double,clFFT2D_2.6,85.764
128,128,1,1024,g,5,3,in,double,clFFT2D_2.6,99.798
256,256,1,256,g,5,3,in,double,clFFT2D_2.6,142.3255
512,512,1,64,g,5,3,in,double,clFFT2D_2.6,162.6435
1024,1024,1,16,g,5,3,in,double,clFFT2D_2.6,163.1355
2048,2048,1,4,g,5,3,in,double,clFFT2D_2.6,158.7915
4096,4096,1,1,g,5,3,in,double,clFFT2D_2.6,91.1925
