lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,2,1,8388608,g,1,1,in,double,clFFT2D_2.6,40.4909
4,4,1,2097152,g,1,1,in,double,clFFT2D_2.6,81.961
8,8,1,524288,g,1,1,in,double,clFFT2D_2.6,123.012
16,16,1,131072,g,1,1,in,double,clFFT2D_2.6,162.167
32,32,1,32768,g,1,1,in,double,clFFT2D_2.6,155.011
64,64,1,8192,g,1,1,in,double,clFFT2D_2.6,211.648
128,128,1,2048,g,1,1,in,double,clFFT2D_2.6,210.676
256,256,1,512,g,1,1,in,double,clFFT2D_2.6,112.635
512,512,1,128,g,1,1,in,double,clFFT2D_2.6,123.928
1024,1024,1,32,g,1,1,in,double,clFFT2D_2.6,144.293
2048,2048,1,8,g,1,1,in,double,clFFT2D_2.6,152.674
4096,4096,1,2,g,1,1,in,double,clFFT2D_2.6,119.07
