lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,8388608,g,5,3,in,double,cuFFT1D,0.906726
4,1,1,4194304,g,5,3,in,double,cuFFT1D,3.146765
8,1,1,2097152,g,5,3,in,double,cuFFT1D,19.294895
16,1,1,1048576,g,5,3,in,double,cuFFT1D,32.758462
32,1,1,524288,g,5,3,in,double,cuFFT1D,45.237741
64,1,1,262144,g,5,3,in,double,cuFFT1D,55.76315
128,1,1,131072,g,5,3,in,double,cuFFT1D,66.019701
256,1,1,65536,g,5,3,in,double,cuFFT1D,75.670117
512,1,1,32768,g,5,3,in,double,cuFFT1D,86.578216
1024,1,1,16384,g,5,3,in,double,cuFFT1D,95.679203
2048,1,1,8192,g,5,3,in,double,cuFFT1D,104.06715
4096,1,1,4096,g,5,3,in,double,cuFFT1D,107.265346
8192,1,1,2048,g,5,3,in,double,cuFFT1D,88.545477
16384,1,1,1024,g,5,3,in,double,cuFFT1D,89.413243
32768,1,1,512,g,5,3,in,double,cuFFT1D,94.809626
65536,1,1,256,g,5,3,in,double,cuFFT1D,96.783663
131072,1,1,128,g,5,3,in,double,cuFFT1D,92.781627
262144,1,1,64,g,5,3,in,double,cuFFT1D,97.037165
524288,1,1,32,g,5,3,in,double,cuFFT1D,101.732314
1048576,1,1,16,g,5,3,in,double,cuFFT1D,102.10937
2097152,1,1,8,g,5,3,in,double,cuFFT1D,102.590091
4194304,1,1,4,g,5,3,in,double,cuFFT1D,106.90631
8388608,1,1,2,g,5,3,in,double,cuFFT1D,112.769815
16777216,1,1,1,g,5,3,in,double,cuFFT1D,110.213005
