lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,16777216,g,1,1,in,double,cuFFT1D,27.724106
4,1,1,8388608,g,1,1,in,double,cuFFT1D,57.747175
8,1,1,4194304,g,1,1,in,double,cuFFT1D,88.106149
16,1,1,2097152,g,1,1,in,double,cuFFT1D,117.536091
32,1,1,1048576,g,1,1,in,double,cuFFT1D,146.175977
64,1,1,524288,g,1,1,in,double,cuFFT1D,174.841499
128,1,1,262144,g,1,1,in,double,cuFFT1D,204.371887
256,1,1,131072,g,1,1,in,double,cuFFT1D,237.097699
512,1,1,65536,g,1,1,in,double,cuFFT1D,266.799358
1024,1,1,32768,g,1,1,in,double,cuFFT1D,289.812625
2048,1,1,16384,g,1,1,in,double,cuFFT1D,268.214622
4096,1,1,8192,g,1,1,in,double,cuFFT1D,168.595754
8192,1,1,4096,g,1,1,in,double,cuFFT1D,165.250054
16384,1,1,2048,g,1,1,in,double,cuFFT1D,174.020168
32768,1,1,1024,g,1,1,in,double,cuFFT1D,174.773738
65536,1,1,512,g,1,1,in,double,cuFFT1D,155.236793
131072,1,1,256,g,1,1,in,double,cuFFT1D,161.97944
262144,1,1,128,g,1,1,in,double,cuFFT1D,165.983672
524288,1,1,64,g,1,1,in,double,cuFFT1D,173.099901
1048576,1,1,32,g,1,1,in,double,cuFFT1D,170.025358
2097152,1,1,16,g,1,1,in,double,cuFFT1D,179.184631
4194304,1,1,8,g,1,1,in,double,cuFFT1D,181.914462
8388608,1,1,4,g,1,1,in,double,cuFFT1D,156.583882
16777216,1,1,2,g,1,1,in,double,cuFFT1D,163.086671
